Top,中文名称,其他名称,是否可播放,导演,主演,发布年份,发布国家,电影类型,电影评分,评价人数,引言
148,神偷奶爸,  卑鄙的我    坏蛋奖门人(港),可播放,"导演:,皮艾尔·柯芬,Pierre,Coffin,/,克里斯·雷纳德,Chris,Renaud","主演:,...",2010,"法国,美国","冒险,动画,喜剧",8.7,1062235人评价,Mr. I Don't Care其实也有Care的时候。
149,小森林 冬春篇,  小森食光  冬春篇(台) ,可播放,"导演:,森淳一,Junichi,Mori","主演:,桥本爱,Ai,Hashimoto,/,三浦贵大,Takahir...",2015,日本,剧情,9.0,426444人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
150,喜宴,  The Wedding Banquet,未知,"导演:,李安,Ang,Lee","主演:,赵文瑄,Winston,Chao,/,归亚蕾,Ya-lei,Kuei,/,郎...",1993,"美国,中国台湾","家庭,同性,爱情,喜剧,剧情",9.0,441846人评价,暂无引言
151,萤火之森,  萤火之社    Hotarubi no mori e,可播放,"导演:,大森贵弘,Takahiro,Omori","主演:,佐仓绫音,Ayane,Sakura,/,内山昂辉,K...",2011,日本,"奇幻,动画,爱情,剧情",8.8,622641人评价,触不到的恋人。
152,告白,  自白    母亲,未知,"导演:,中岛哲也,Tetsuya,Nakashima","主演:,松隆子,Takako,Matsu,/,冈田将生,...",2010,日本,"悬疑,剧情",8.8,754378人评价,没有一人完全善，也没有一人完全恶。
153,机器人之梦,  再见机器人(台)    汪汪梦里人(港),可播放,"导演:,巴勃罗·贝格尔,Pablo,Berger","主演:,伊万·拉班达,Ivan,Labanda",2023,"法国,西班牙","音乐,动画,剧情",9.1,464535人评价,暂无引言
154,七武士,  七侠四义(港)    七剑客(港),可播放,"导演:,黑泽明,Akira,Kurosawa","主演:,三船敏郎,Toshirô,Mifune,/,志村乔,...",1954,日本,"剧情,冒险,动作",9.3,241247人评价,暂无引言
155,头号玩家,  玩家一号    挑战者1号(港),可播放,"导演:,史蒂文·斯皮尔伯格,Steven,Spielberg","主演:,泰伊·谢里丹,Tye,Sheri...",2018,美国,"冒险,科幻,动作",8.6,1538635人评价,写给影迷，动漫迷和游戏迷的一封情书。
156,玛丽和麦克斯,  玛丽和马克思    巧克力情缘(台),可播放,"导演:,亚当·艾略特,Adam,Elliot","主演:,托妮·科莱特,Toni,Collette,/,菲利...",2009,"美国,澳大利亚","动画,喜剧,剧情",9.0,477375人评价,你是我最好的朋友，你是我唯一的朋友 。
157,模仿游戏,  解码游戏(港)    模拟游戏,可播放,"导演:,莫滕·泰杜姆,Morten,Tyldum","主演:,本尼迪克特·康伯巴奇,Benedict,C...",2014,"美国,英国","同性,战争,传记,剧情",8.8,729849人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
158,惊魂记,  精神病患者    触目惊心(港),可播放,"导演:,阿尔弗雷德·希区柯克,Alfred,Hitchcock","主演:,安东尼·博金斯,Antho...",1960,美国,"恐怖,惊悚,悬疑",9.0,364898人评价,暂无引言
159,心灵奇旅,  灵魂奇遇记(港)    灵魂急转弯(台),可播放,"导演:,彼特·道格特,Pete,Docter,/,凯普·鲍尔斯,Kemp,Powers","主演:,杰米·...",2020,美国,"音乐,奇幻,动画",8.7,1163748人评价,暂无引言
